txn_id,account_id,merchant_name,amount_cents,currency,txn_time,category,status,created_at,updated_at
1,646,McDonalds,78911,USD,2024-03-15T10:24:19,food,pending,2024-03-15T10:24:19,2024-03-16T06:51:19
2,646,Amazon,79789,USD,2025-05-27T10:08:50,travel,posted,2025-05-27T10:08:50,2025-05-28T01:58:50
3,646,Shell,79292,USD,2024-11-28T12:28:09,grocery,posted,2024-11-28T12:28:09,2024-11-29T10:41:09
4,646,Google,1404,USD,2025-06-08T21:22:46,fuel,reversed,2025-06-08T21:22:46,2025-06-09T03:56:46
5,646,Amazon,11459,USD,2024-03-24T21:23:19,grocery,reversed,2024-03-24T21:23:19,2024-03-25T03:59:19
6,646,Exxon,14512,USD,2025-03-21T05:26:55,streaming,posted,2025-03-21T05:26:55,2025-03-21T19:48:55
7,646,Shell,92977,USD,2025-01-08T21:56:00,travel,pending,2025-01-08T21:56:00,2025-01-09T06:13:00
8,646,Amazon,3776,USD,2024-04-16T22:24:18,coffee,posted,2024-04-16T22:24:18,2024-04-17T18:21:18
9,646,Exxon,65256,USD,2024-12-04T12:47:52,fuel,posted,2024-12-04T12:47:52,2024-12-05T08:42:52
10,646,Starbucks,99645,USD,2025-02-24T07:38:59,coffee,posted,2025-02-24T07:38:59,2025-02-24T18:10:59
11,646,Uber,42944,USD,2025-04-13T14:52:36,fuel,pending,2025-04-13T14:52:36,2025-04-14T08:32:36
12,646,Exxon,84203,USD,2025-03-31T12:01:56,coffee,pending,2025-03-31T12:01:56,2025-03-31T20:07:56
13,646,Costco,71328,USD,2025-01-28T21:10:32,retail,posted,2025-01-28T21:10:32,2025-01-29T08:54:32
14,646,Exxon,24263,USD,2024-05-31T18:39:10,rideshare,pending,2024-05-31T18:39:10,2024-06-01T06:18:10
15,646,Google,85537,USD,2024-05-27T01:50:37,travel,reversed,2024-05-27T01:50:37,2024-05-28T01:28:37
16,646,Shell,73813,USD,2024-09-14T04:59:53,fuel,reversed,2024-09-14T04:59:53,2024-09-14T15:12:53
